E:\ProgramData\Anaconda3\envs\base124\python.exe G:\DRPrograme\seinet3\train_open_contrastive.py
[Epoch 2] ce_loss: 1.0825 | con_loss: 1.5311
[Epoch 2] ce_loss: 1.0610 | con_loss: 1.4342
[Epoch 2] ce_loss: 1.0533 | con_loss: 1.5243
[Epoch 2] ce_loss: 1.0681 | con_loss: 1.5658
[Epoch 2] ce_loss: 1.1101 | con_loss: 1.4647
[Epoch 2] ce_loss: 1.0713 | con_loss: 1.4863
[Epoch 2] ce_loss: 0.9933 | con_loss: 1.4839
[Epoch 2] ce_loss: 1.1276 | con_loss: 1.7040
[Epoch 2] ce_loss: 0.9943 | con_loss: 1.5064
[Epoch 2] ce_loss: 1.0692 | con_loss: 1.5532
[Epoch 2] ce_loss: 0.9718 | con_loss: 1.4625
[Epoch 2] ce_loss: 1.0202 | con_loss: 1.4567
[Epoch 2] ce_loss: 0.9909 | con_loss: 1.3208
[Epoch 2] Loss: 2.8927 | Acc: 82.39
[Epoch 3] ce_loss: 0.9917 | con_loss: 1.5269
[Epoch 3] ce_loss: 0.9536 | con_loss: 1.4737
[Epoch 3] ce_loss: 0.9692 | con_loss: 1.3974
[Epoch 3] ce_loss: 0.8901 | con_loss: 1.3956
[Epoch 3] ce_loss: 0.9031 | con_loss: 1.4523
[Epoch 3] ce_loss: 0.9758 | con_loss: 1.5432
[Epoch 3] ce_loss: 0.8943 | con_loss: 1.4126
[Epoch 3] ce_loss: 0.8834 | con_loss: 1.4481
[Epoch 3] ce_loss: 0.8524 | con_loss: 1.4329
[Epoch 3] ce_loss: 0.8812 | con_loss: 1.4191
[Epoch 3] ce_loss: 0.8308 | con_loss: 1.4479
[Epoch 3] ce_loss: 0.8513 | con_loss: 1.4681
[Epoch 3] ce_loss: 0.8216 | con_loss: 1.3659
[Epoch 3] ce_loss: 0.7841 | con_loss: 1.3988
[Epoch 3] ce_loss: 0.8235 | con_loss: 1.3795
[Epoch 3] ce_loss: 0.8192 | con_loss: 1.3982
[Epoch 3] ce_loss: 0.8138 | con_loss: 1.4039
[Epoch 3] ce_loss: 0.7748 | con_loss: 1.3803
[Epoch 3] ce_loss: 0.8110 | con_loss: 1.3795
[Epoch 3] ce_loss: 0.7590 | con_loss: 1.4127
[Epoch 3] ce_loss: 0.7642 | con_loss: 1.3833
[Epoch 3] ce_loss: 0.7090 | con_loss: 1.3525
[Epoch 3] ce_loss: 0.7345 | con_loss: 1.3904
[Epoch 3] ce_loss: 0.7155 | con_loss: 1.3584
[Epoch 3] ce_loss: 0.7765 | con_loss: 1.4264
[Epoch 3] ce_loss: 0.7594 | con_loss: 1.4408
[Epoch 3] ce_loss: 0.7073 | con_loss: 1.4585
[Epoch 3] ce_loss: 0.7950 | con_loss: 1.4675
[Epoch 3] ce_loss: 0.7162 | con_loss: 1.3781
[Epoch 3] ce_loss: 0.6382 | con_loss: 1.3135
[Epoch 3] ce_loss: 0.7295 | con_loss: 1.4116
[Epoch 3] ce_loss: 0.7213 | con_loss: 1.4872
[Epoch 3] ce_loss: 0.6496 | con_loss: 1.3339
[Epoch 3] ce_loss: 0.6539 | con_loss: 1.3544
[Epoch 3] ce_loss: 0.6353 | con_loss: 1.3176
[Epoch 3] ce_loss: 0.6475 | con_loss: 1.3310
[Epoch 3] ce_loss: 0.6131 | con_loss: 1.2972
[Epoch 3] ce_loss: 0.6316 | con_loss: 1.3708
[Epoch 3] ce_loss: 0.6312 | con_loss: 1.3536
[Epoch 3] ce_loss: 0.6213 | con_loss: 1.3780
[Epoch 3] ce_loss: 0.5968 | con_loss: 1.3783
[Epoch 3] ce_loss: 0.5734 | con_loss: 1.3244
[Epoch 3] ce_loss: 0.5880 | con_loss: 1.3289
[Epoch 3] ce_loss: 0.5970 | con_loss: 1.3494
[Epoch 3] ce_loss: 0.5635 | con_loss: 1.3163
[Epoch 3] ce_loss: 0.5485 | con_loss: 1.3257
[Epoch 3] ce_loss: 0.5396 | con_loss: 1.3239
[Epoch 3] ce_loss: 0.5262 | con_loss: 1.3071
[Epoch 3] ce_loss: 0.5656 | con_loss: 1.3455
[Epoch 3] ce_loss: 0.5432 | con_loss: 1.2959
[Epoch 3] ce_loss: 0.5223 | con_loss: 1.3286
[Epoch 3] ce_loss: 0.5021 | con_loss: 1.3209
[Epoch 3] ce_loss: 0.5251 | con_loss: 1.3609
[Epoch 3] ce_loss: 0.5037 | con_loss: 1.3043
[Epoch 3] ce_loss: 0.5616 | con_loss: 1.1040
[Epoch 3] Loss: 2.0954 | Acc: 95.88
[Epoch 4] ce_loss: 0.5081 | con_loss: 1.3790
[Epoch 4] ce_loss: 0.5080 | con_loss: 1.3128
[Epoch 4] ce_loss: 0.4746 | con_loss: 1.2890
[Epoch 4] ce_loss: 0.4708 | con_loss: 1.2960
[Epoch 4] ce_loss: 0.5149 | con_loss: 1.3141
[Epoch 4] ce_loss: 0.5021 | con_loss: 1.3025
[Epoch 4] ce_loss: 0.4683 | con_loss: 1.2928
[Epoch 4] ce_loss: 0.4594 | con_loss: 1.3045
[Epoch 4] ce_loss: 0.4580 | con_loss: 1.3590
[Epoch 4] ce_loss: 0.4559 | con_loss: 1.3129
[Epoch 4] ce_loss: 0.4496 | con_loss: 1.3401
[Epoch 4] ce_loss: 0.4281 | con_loss: 1.2801
